epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,23.1003404573011,1.32570118627603,397.56689185022,2.08070169367399,248.526677752862,3.50284504371204,142.343042101845,8.52888910063047,60.3645972828152
202542,27.1013002826068,1.55531153320813,466.425148078285,2.44107750286273,291.57129240016,4.10953490268049,166.996739042544,10.0060856254689,70.8196955115933
202543,31.7943133666557,1.82463799721556,547.193941451113,2.86378816768882,342.061411910963,4.82116500406026,195.91483054176,11.7387955054659,83.083230994338
202544,37.2985261693278,2.1405182525523,641.923834289072,3.35956548846168,401.2788820613,5.65580224981922,229.831490608154,13.7710088690323,97.4665510067146
202545,43.7532539674299,2.51094743799439,753.01250301125,3.94095791800359,470.722536297762,6.63457186223617,269.605172403861,16.1541623843031,114.33370691824
202546,51.3211830049552,2.94526192445163,883.259848532126,4.62261898681293,552.14264630186,7.7821429454096,316.23833972031,18.9483215267539,134.10982188328
202547,60.1919487155986,3.45434466492093,1035.9295790251,5.42162960193516,647.579418554861,9.12727107288865,370.899515790839,22.2235016966566,157.290441264322
202548,70.5860468113864,4.05084964723171,1214.8165214564,6.3578503278632,759.405072066692,10.7033913498164,434.947383206222,26.0611122342117,184.45175288352
202549,82.758961853508,4.74943882783738,1424.31767608217,7.45429325656846,890.368255902805,12.5492444532215,509.956223943686,30.5554807314014,216.261375587299
202550,97.0052758272411,5.56701791806544,1669.50292680731,8.73749207645378,1043.63825158363,14.7094996402088,597.74123618225,35.8153699611434,253.489095558722
202551,113.662318422676,6.52294586940604,1956.17786410204,10.2378308616757,1222.84424489283,17.2353082622145,700.38102713411,41.9653255993963,297.016405039493
202552,133.112598328996,7.63917440261194,2290.92562863243,11.9897630645071,1432.10148313207,20.1846724369374,820.232594547828,49.1465738846266,347.842855660569
202601,155.783749834731,8.94024494315006,2681.10599222752,14.0318067054965,1676.01070061597,23.62243695101,959.930997661971,57.517001902058,407.085918900738
202602,182.14396035585,10.4530262124534,3134.77666365205,16.4061325202297,1959.60892540357,27.6195959082897,1122.36118188184,67.2494693788671,475.96903754303
202603,212.68971813938,12.2060110831385,3660.48242126435,19.1574603663376,2288.23766208459,32.2514348396785,1310.58248079519,78.5272850072555,555.789608616839
202604,247.921158221734,14.2279017127473,4266.83080625198,22.3308385763007,2667.27764949521,37.593792260922,1527.67669930772,91.5351039124932,647.854558750194
202605,288.298309746119,16.5450986290987,4961.73911996219,25.9677030509957,3101.67814432894,43.716425187386,1776.47851199146,106.442773701489,753.366011955913
202606,334.169458064344,19.1775895161364,5751.20150456152,30.0994246666543,3595.18619964568,50.6721462440898,2059.13403425054,123.378884995947,873.234089235907
202607,385.661548202054,22.1326595985697,6637.40273907407,34.7374376586439,4149.16756265331,58.4802048769331,2376.42549443192,142.390307236929,1007.7905166686
202608,442.52413250462,25.3959359820486,7616.03251059318,39.8591836209479,4760.92777420865,67.1026241856471,2726.80964770277,163.384572511428,1156.38083758742
202609,503.92653578289,28.9197472010506,8672.79453834763,45.3898416964383,5421.52995541879,76.4134438418708,3105.16791870526,186.054986786948,1316.83437518532
202610,568.227871053785,32.6099246945522,9779.44844471413,51.1816133567284,6113.32050541034,86.1638461778905,3501.38925105263,209.795717299627,1484.86324971855
202611,632.775295700935,36.3142249659685,10890.3376561237,56.9955508627088,6807.75862569307,95.9515645419367,3899.12697275841,233.627306603015,1653.53519209404
202612,693.832950741178,39.8182514917984,11941.166416976,62.495156658079,7464.65180813688,105.210107927205,4275.36092385961,256.17043619651,1813.08785169012
202613,746.778095750967,42.8567106728123,12852.3753569052,67.2640497009027,8034.26596671382,113.238502102995,4601.60602917081,275.71834160682,1951.44132585228
202614,786.673829528109,45.1462795946847,13538.9982621035,70.8575517531302,8463.48709401595,119.288134730048,4847.44137186719,290.448266890929,2055.69476346767
202615,809.193744487408,46.4386708488986,13926.5757790518,72.8859731646595,8705.76922221473,122.702966327262,4986.20786360382,298.762856781866,2114.5426233022
202616,811.655497119239,46.5799479175361,13968.9436109956,73.1077089819271,8732.25416533362,123.076256843096,5001.37704949373,299.671761792547,2120.97554607688
202617,793.755113530911,45.5526660988241,13660.8702352247,71.4953795654627,8539.67159833933,120.361912868434,4891.07585893499,293.062751558876,2074.19920316909
202618,757.654460325282,43.4808923572854,13039.5623148824,68.2437092965101,8151.28011889395,114.887751377618,4668.62559640958,279.734010009795,1979.86287092185
202619,707.377866425413,40.5955781647013,12174.2802985185,63.71517889355,7610.37575976728,107.264005827962,4358.82395796817,261.171361787271,1848.48271446368
202620,647.810428955565,37.177073460705,11149.0988292608,58.34980048017,6969.5151904611,98.2314331914867,3991.77264652355,239.1784362229,1692.82421320985
202621,583.716836161852,33.4988180619858,10046.02026115,52.5767406706822,6279.95965288322,88.5125321100874,3596.83141202713,215.514406421738,1525.33820041481
202622,519.075087793642,29.7891046639043,8933.50769753583,46.754307206535,5584.50674404913,78.7105108668507,3198.51247267987,191.647991806664,1356.41977624194
202623,456.797440400363,26.215064221498,7861.68233843969,41.1448138465239,4914.48818594498,69.2669726251169,2814.7609950213,168.654428181606,1193.67909665909
202624,398.750578282666,22.8838235364842,6862.67063138509,35.9163972115397,4289.98683615946,60.4649740724183,2457.07938623411,147.222915059255,1041.9940831095
202625,345.937276731279,19.8529306954352,5953.73077463517,31.1593796173788,3721.79112493227,52.4565721216636,2131.64669314622,127.723687642996,903.985135353159
202626,298.726352699573,17.1435516665976,5141.21026813632,26.9069812696463,3213.86899603853,45.2976927294225,1840.73554577445,110.292917038165,780.616026495598
202627,257.064822186819,14.7526457609067,4424.19723422481,23.1544297754739,2765.6504172876,38.9803016095902,1584.01945958664,94.9110409934116,671.748301526929
202628,220.645588860091,12.6625890834412,3797.40641163763,19.8740642498965,2373.8314706479,33.4578318784567,1359.60612367388,81.4646763068044,576.579472427615
202629,189.02750717066,10.8480648135098,3253.24549388977,17.0261496815583,2033.66605993816,28.6633899548747,1164.77722314676,69.7909473934891,493.956760802844
202630,161.715146068588,9.2806407497847,2783.18789744384,14.5660614370425,1739.8240544997,24.521850617162,996.479938808499,59.7069358895667,422.585532235157
202631,138.208320291522,7.93161185231706,2378.6252167021,12.4487466599012,1486.92417513696,20.9573677335094,851.632156263891,51.0279681258224,361.158728848743
202632,118.030609362097,6.77363691402913,2031.35804833756,10.6312930434525,1269.8408178065,17.897698770914,727.298198430892,43.5781446420627,308.431393656641
202633,100.744069866728,5.78158288097373,1733.84919600167,9.07425400014222,1083.86233672875,15.2764357074449,620.779481802765,37.1957721154676,263.259115915529
202634,85.9553009723848,4.93287294515993,1479.32806050226,7.74219499682621,924.756300687439,13.0339247834216,529.651891832695,31.7356028132944,224.613881215818
202635,73.3163549281232,4.20753879715777,1261.80630993033,6.60377556577243,788.779288725902,11.1174045662968,451.771393394731,27.0691707596365,191.586450756456
202636,62.5227594606749,3.58810713372281,1076.04384422928,5.63157117720665,672.655613947531,9.48070607447715,385.261844892918,23.0840615830383,163.381193572889
202637,53.3100736740442,3.0594020049521,917.489520731165,4.80176302113378,573.54026991334,8.08373052744463,328.493775901841,19.6826409183358,139.307086594639
202638,45.4498392535369,2.60831245867744,782.211472619649,4.09377332281507,488.975371378697,6.89183540221125,280.059438705957,16.780559548523,118.767134544171
202639,38.7454291377418,2.2235543006659,666.825662771838,3.48989142294415,416.845491931634,5.87520494221718,238.747228042022,14.305220690706,101.247521904398
202640,19.6896322863789,1.12996468288593,338.867122942999,1.77349123151725,211.832328071279,2.98565863106387,121.326443767804,7.26961970595729,51.4519136984546
