epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,66.1648732627964,8.44273702470752,526.576673706702,11.8848095004942,371.972283866094,17.3303751624087,255.84742045907,32.8210712053996,133.536276212181
202542,76.8604488542311,9.80750850530428,611.697982651808,13.805993236424,432.101737514506,20.1318365487436,297.205248116729,38.1266091858766,155.122463353404
202543,89.2800275059874,11.3922653610755,710.539861926711,16.0368495665837,501.923363521398,23.3848611036172,345.229479170869,44.287338515038,180.188094155608
202544,103.698694350681,13.2321088673588,825.291591234909,18.6267904256804,582.983662922599,27.1615010854975,400.983817337911,51.4397151139773,209.288355116388
202545,120.433835119593,15.3675379193001,958.479101851097,21.6328259577445,677.066946478638,31.5448884271318,465.695534985124,59.7411781066936,243.063805290549
202546,139.850731362471,17.8451629902881,1113.00950647641,25.120569552762,786.226790439457,36.6307002753931,540.777108818577,69.3729253276723,282.25166875964
202547,162.368361417644,20.7184463444387,1292.21726656863,29.1652798410353,912.81864901684,42.5286784227176,627.848651169841,80.5427908918709,327.697542354051
202548,188.465054821372,24.0484235477047,1499.90919326057,33.852876361688,1059.53164290685,49.3641103503001,728.759774559075,93.4880500632634,380.366807580987
202549,218.68338494742,27.9043277760209,1740.40338569324,39.2808183989181,1229.41606521899,57.2791107431204,845.608510634223,108.477846247653,441.354505121879
202550,253.633276642291,32.3639863542188,2018.55396329652,45.5586631883527,1425.90085228989,66.4334354639121,980.753326826058,125.814732534465,511.891606771197
202551,293.991686080233,37.5137799050455,2339.74851789826,52.8080084112745,1652.7917838603,77.0043976985046,1136.81188840626,145.834512888886,593.344369308558
202552,340.496293407504,43.447837521116,2709.85791629713,61.161359241173,1914.23602375349,89.1852158882568,1316.6366691005,168.903113389415,687.201604771373
202601,393.929337765343,50.2659740896088,3135.10765043051,70.7592247233917,2214.63124199506,103.180779684064,1523.25244408929,195.408563594456,795.042055729179
202602,455.085938510219,58.0696480324764,3621.82572011588,81.7444275010614,2558.44751988929,119.199352414593,1759.73379398133,225.745282290423,918.470460055282
202603,524.718994458603,66.954930367469,4176.00411075069,94.2522063884598,2949.91757909758,137.438138703768,2028.99204030663,260.286744773909,1059.006344643
202604,603.450286957763,77.0011613266916,4802.59130235873,108.394248335155,3392.53701201516,158.059999953505,2333.43149740818,299.341385549002,1217.90461049401
202605,691.635515741986,88.2537287295146,5504.41815025161,124.234445605619,3888.30552688611,181.158103573281,2674.4275908704,343.085649392682,1395.88314333261
