epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,190.926350363403,42.4927301703408,842.519225378883,55.0489462023092,661.867420511784,73.3159853016836,503.38356824335,114.737847599115,322.289899696242
202542,221.786830448651,49.3610647438224,978.700259200329,63.9468112940409,768.848705760788,85.1664527726557,584.748233484407,133.283559357168,374.383395498794
202543,257.620054358265,57.3361373926551,1136.8250020328,74.278445515829,893.068560341026,98.926460820098,679.223700484912,154.817658637339,434.871044886326
202544,299.218568339636,66.5943378806081,1320.39079957614,86.2723602054351,1037.27443393348,114.900348310353,788.899543351582,179.816428835688,505.090691745184
202545,347.496268130716,77.3390636168013,1533.43048819763,100.192054860007,1204.63444771966,133.43905248369,916.18527809254,208.829078742427,586.585021855288
202546,403.504142578024,89.8042235686567,1780.58186832221,116.340556423501,1398.79197138379,154.946154525612,1063.85187118118,242.487203723364,681.128138630241
202547,468.446388320927,104.257824759674,2067.15881526291,135.065065561991,1623.92148645745,179.884067628137,1235.07422644841,281.514469894905,790.752765229402
202548,543.695759090108,121.005388422294,2399.21901255903,156.761382258696,1884.78179636929,208.779931141861,1433.47165401019,326.735838337815,917.776154673784
202549,630.806193827233,140.392760522899,2783.61967730461,181.8775468236,2186.75980322576,242.230459791544,1663.14116471807,379.085154009209,1064.82140652345
202550,731.519503126705,162.807599901952,3228.04706605859,210.9157677655,2535.89368710492,280.904511279092,1928.67509918163,439.609163982744,1234.82875380905
202551,847.760985025146,188.678402520394,3740.99712821377,244.431157712065,2938.85770770318,325.541402740595,2235.14956865407,509.464882742218,1431.04816234163
202552,981.616039412894,218.469296743264,4331.67231014209,283.024990747019,3402.88113559281,376.94193064766,2588.06279816305,589.905538531637,1656.99985507734
202601,1135.27588647243,252.667962389409,5009.74202168283,327.329051648698,3935.56007915379,435.947526611931,2993.19201139806,682.247952663908,1916.38268307305
202602,1310.93518296787,291.762844126191,5784.89083761235,377.976116049749,4544.50256005838,503.400941897202,3456.32349270846,787.811011677498,2212.90129844736
202603,1510.61781632689,336.204380052886,6666.04976229217,435.549722418874,5236.72460908818,580.079352103474,3982.79328750196,907.810977690199,2549.97208911543
202604,1735.90042733799,386.343468678127,7660.17619145783,500.504456588678,6017.69182682564,666.588189496411,4576.7582607919,1043.19533841214,2930.25647609437
202605,1987.49901065089,442.3394623773,8770.42966414896,573.046758114932,6889.88628832754,763.202397021896,5240.10615589364,1194.39437329319,3354.96308167968
202606,2264.68812624927,504.030906606231,9993.60896084057,652.967464101284,7850.79317512365,869.643404700073,5970.92432647381,1360.97212665791,3822.86733948932
202607,2564.54519252857,570.767349128827,11316.8173222069,739.423919580441,8890.28103315246,984.788937111366,6761.50729052962,1541.17226302875,4329.03583655859
202608,2881.06873137848,641.213095896156,12713.5714436701,830.68574503695,9987.54507130697,1106.33441827615,7596.03195470516,1731.38817347258,4863.33788231221
202609,3204.3229270208,713.156823337209,14140.0265872093,923.888190858152,11108.1416795392,1230.4644810533,8448.30221568458,1925.64889528907,5409.00149601277
202610,3519.907967142,783.393697032968,15532.6393043016,1014.87942314651,12202.1523075095,1351.64957739499,9280.35249726207,2115.3008116907,5941.71932533651
202611,3809.19770735052,847.778266519216,16809.2162009249,1098.28904845652,13205.0073548505,1462.73724183045,10043.0743604579,2289.15047707661,6430.04983172022
202612,4050.80607006155,901.550828263768,17875.3848581528,1167.95091406906,14042.5696059345,1555.51519068649,10680.0827121465,2434.34585449124,6837.89261945331
202613,4223.48496525124,939.982389362809,18637.3817681528,1217.7386526053,14641.180194355,1621.82412770613,11135.3562679206,2538.11783107879,7129.38022032356
202614,4310.05703227043,959.249941888342,19019.4067254498,1242.69959199838,14941.2918896622,1655.06792239992,11363.6063545292,2590.14361281652,7275.51668992561
202615,4301.2633618584,957.292815156938,18980.60204307,1240.16415208392,14910.8076535085,1651.69114067519,11340.4215548327,2584.85902630632,7260.67268777681
202616,4198.06449575916,934.324788152318,18525.2063967362,1210.40928159473,14553.0573106415,1612.06263190372,11068.3343685599,2522.84131241634,7086.46963963504
202617,4011.39462240472,892.779383108519,17701.4701403168,1156.58758649439,13905.9454409116,1540.38113972062,10576.173141187,2410.66140933056,6771.36481180377
202618,3759.4797120648,836.71298739842,16589.8207806711,1083.95407980206,13032.6543966017,1443.64546217479,9911.99123953095,2259.27227663352,6346.12423589109
202619,3463.86625847985,770.921006909614,15285.3386206554,998.721166314201,12007.8774937779,1330.1294829673,9132.59669915923,2081.62235392186,5847.11909530461
202620,3145.61295905497,700.090283164346,13880.9514169228,906.960606677452,10904.6170482774,1207.9197713249,8293.51146464449,1890.36693790503,5309.89715734572
