epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,103.034662018434,6.09020395101419,1840.8571439264,9.15819348571565,1188.31541725205,15.8130734216582,673.947745655906,38.3906061112613,277.028219428091
202542,126.849891785976,7.49788175170078,2266.34925495972,11.275000372304,1462.98031296557,19.4680762089767,829.722706234132,47.2641355385846,341.059978920762
202543,156.168074972262,9.23082978666136,2790.15926130264,13.8809350064334,1801.1116602577,23.9676356216277,1021.49237944943,58.1880595904838,419.887471784378
202544,192.259340970287,11.3641232480302,3434.97978620449,17.0888923159377,2217.3580667915,29.5066826561611,1257.5646572707,71.6356271356565,516.925681649613
202545,236.685737057533,13.9900920985075,4228.7189708051,21.0377142295501,2729.73487639346,36.3249499210317,1548.15686094347,88.1888553378629,636.374468713669
202546,291.367247341428,17.222223339146,5205.6799941623,25.8980577436723,3360.38557622643,44.7171037844731,1905.82756964438,108.563128245191,783.396074189271
202547,358.661809557465,21.1998906664436,6407.99068433206,31.87950718251,4136.50464346069,55.0450248195336,2346.00000882106,133.63701096442,964.330260633889
202548,441.461476402773,26.0940384055193,7887.32157396646,39.2391214585917,5091.44658948279,67.752566004843,2887.59103962845,164.488079272221,1186.95285992277
202549,543.306430301075,32.1139207293078,9706.92293222589,48.2915682281804,6266.04091061546,83.3830509510751,3553.75692731691,202.43540139601,1460.78232355642
202550,668.517229442364,39.514918497452,11943.9875237003,59.420878526028,7710.1173030767,102.599570141981,4372.75836003815,249.088812748487,1797.43529120602
202551,822.342576770402,48.6072736302882,14692.2907063236,73.0935811509518,9484.20990660614,126.207659534025,5378.92700295484,306.403974496115,2211.02389564643
202552,1011.11348876111,59.7652017636056,18064.9448704283,89.8724058941879,11661.3353579145,155.178961353294,6613.67391325948,376.739816682913,2718.57027474016
202601,1242.3822015953,73.4351027566982,22196.8811901817,110.428630157329,14328.5948180342,190.67254248937,8126.39812278287,462.910294523538,3340.3800470129
202602,1525.00071172079,90.140203091652,27246.2528596618,135.549059997831,17588.0797933218,234.046948377501,9975.00037030252,568.213652533661,4100.25348284245
