epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,38.4448144203909,2.93804417740504,540.3395982544,4.35517596294539,359.349624043913,7.1023926483903,217.207974133603,15.7173215142442,97.3004652169824
202542,45.5927460699516,3.48430611884238,640.803355827514,5.16492106314365,426.16244625899,8.42291969382999,257.592816049319,18.6395970302472,115.391255492005
202543,54.0661238807603,4.13186180913062,759.896180989435,6.12481778583445,505.36441866027,9.98831302912989,305.466248555166,22.1037522192369,136.836634157005
202544,64.1083568829455,4.89931314541711,901.039173296346,7.26244043910487,599.230723083959,11.8435406566643,362.203499575042,26.2092995393609,162.252648193262
202545,76.0059715872667,5.80855716529457,1068.25944595056,8.61024784454684,710.439567123781,14.0415362116781,429.423404935726,31.0733790876609,192.364471157059
202546,90.0951870841938,6.88528853151483,1266.28253843014,10.2063281896877,842.133642598601,16.6444136627886,509.025556782664,36.833446685522,228.023044180791
202547,106.768759859627,8.15952262908968,1500.62861996993,12.0951744349559,997.984105103179,19.7247318406239,603.228975858088,43.6500722318695,270.222399603309
202548,126.482531246499,9.66609593711884,1777.70451360753,14.3284260340992,1182.25177405057,23.3667040306602,714.609103712326,51.7096164855529,320.116231997687
202549,149.760619498108,11.4450628193854,2104.87667046762,16.9654571121569,1399.83566378421,27.6671571700339,846.127137212144,61.226353730965,379.031038855026
202550,177.197394239396,13.5418464166203,2490.49892055814,20.0736001388696,1656.29143907935,32.7358966126857,1001.14118392202,72.4432789892643,448.471117748081
202551,209.453092509397,16.0069036140364,2943.85085650567,23.7276492971618,1957.79043761402,38.694896225909,1183.38149334008,85.630315733215,530.107470917863
202552,247.237979061157,18.8945145337663,3474.9152075053,28.0080661011915,2310.97161384348,45.6753721239314,1396.86096474631,101.077840172253,625.737716377109
202601,291.277119591637,22.2600904212875,4093.88272914554,32.9969887727857,2722.61226893404,53.8112747849469,1645.67612074137,119.082279558008,737.196932034006
202602,342.244081713668,26.1551069159759,4810.22037448111,38.7707216333737,3199.00834349795,63.227040800306,1933.63252675275,139.919007276776,866.189858646748
202603,400.647696084171,30.6184500671306,5631.07972837161,45.3869069704691,3744.91595635182,74.0166728377667,2263.60500680636,163.796047613541,1014.00430213614
202604,466.653194939581,35.662747315344,6558.78312015068,52.8642629252642,4361.87955875491,86.210696320303,2636.52710057142,190.780952154225,1181.0584508513
202605,539.821963938746,41.2544787092111,7587.16585113372,61.1531015836828,5045.79935464968,99.7280805206493,3049.92069665883,220.694403018781,1366.24221022969
202606,618.77107111166,47.287957297618,8696.79089408176,70.0967591104338,5783.74886510801,114.313339074648,3495.9724174753,252.971018718637,1566.05550032365
