epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,54.1556073547246,10.163307808961,291.355501213866,13.1952944765706,217.455912072018,18.1506063697939,162.07757265379,30.5639927271413,96.0317534849425
202542,62.9022966337103,11.8047868689113,338.412420401358,15.3264706625433,252.577285234984,21.0821165475284,188.254772695315,35.5003928631128,111.541872375256
202543,73.0545481905579,13.7100458543827,393.031221394946,17.8001193840019,293.342539835832,24.4847101251146,218.638556936282,41.2300551807219,129.544412951311
202544,84.8341946218935,15.9207157814728,456.405356738744,20.6702913031023,340.642420378829,28.4327357496831,253.892828720277,47.8781761314737,150.432741187096
202545,98.4957882545092,18.4845681327123,529.904310118382,23.9990094138757,395.49905386239,33.0115083001502,294.779415404705,55.5884183173551,174.658243513115
202546,114.330113681333,21.456174049824,615.092493696447,27.8571248898268,459.080053982681,38.3184861366463,342.168580721969,64.5248928732521,202.736555441722
202547,132.667283086563,24.897485229102,713.745900866443,32.3250712759483,532.710950072804,44.4643085189985,397.048288506865,74.8739063866032,235.253050370866
202548,153.878816808106,28.8782243776844,827.863299614738,37.4933714285466,617.883541373495,51.5734929208564,460.530429429653,86.8451351118262,272.866528953839
202549,178.377746369647,33.4759045494362,959.666786829865,43.462662619537,716.256310747084,59.7844695615614,533.851129351677,100.671683118888,316.309401801494
202550,206.615235128649,38.7751949466432,1111.5836074928,50.3428731398123,829.640855259561,69.2484487942013,618.360635558855,116.608175076402,366.381697026186
202551,239.071433034175,44.8662046450811,1286.1969535554,58.2509940135765,959.965164461874,80.1263560178186,715.495946767581,134.925594918774,423.934843386571
202552,276.237214456594,51.8410553578146,1486.14771402618,67.3066293258798,1109.20029064454,92.5827109914699,826.726157875194,155.900979160204,489.839286785296
202601,318.58208730384,59.7878589835028,1713.96182700317,77.624177112436,1279.23149140751,106.774872364438,953.45641796554,179.799305648496,564.927584918161
202602,366.502039549159,68.7809300365118,1971.76969559799,89.3001218957424,1471.64881310235,122.835558098548,1096.87184475106,206.844059524442,649.901925818638
202603,420.239840608767,78.8658287168671,2260.87741179992,102.393615702585,1687.42706974011,140.846133953093,1257.6990015484,237.17225342688,745.192801800826
202604,479.770345535523,90.0378361071731,2581.14969656706,116.898531836241,1926.46529453857,160.798172434412,1435.86263424822,270.769696212566,850.755624437356
202605,544.64656635606,102.213066593693,2930.18176835639,132.705959359798,2186.96865622942,182.541862596732,1630.02499170587,307.384119689257,965.797769640608
202606,613.811642690341,115.193180653004,3302.28775084264,149.558388762857,2464.69344766765,205.722990764261,1837.02308908195,346.41905980555,1088.44515344326
202607,685.400743913869,128.628208105209,3687.4349126464,167.001444396413,2752.15164565276,229.716546743876,2051.27583817911,386.822055469629,1215.39095382688
202608,756.586606017258,141.987560230357,4070.41266039139,184.346248727942,3037.99068109984,253.574954492308,2264.32176824157,426.997473637355,1341.62170803759
202609,823.556567727136,154.555720169061,4430.70899374149,200.663827073213,3306.9012300973,276.020375621726,2464.7502993733,464.793549106151,1460.37659175062
202610,881.727389313928,165.472557670564,4743.66622397674,214.83744931244,3540.47979530992,295.516707329605,2638.84465492744,497.623622569549,1563.52834780146
