epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,57.9686074782173,2.58103898613983,1156.03581802219,4.61856550697118,701.34349431621,8.24594693550185,396.041632715715,20.7900432926266,160.888439362454
202542,69.5967275603449,3.09877837256144,1387.92897357633,5.54501926631695,842.02837058812,9.90002946961997,475.48497046487,24.9603887681521,193.161598475957
202543,83.5535939265846,3.7202046545218,1666.26302589568,6.65701253972348,1010.88799742461,11.8853726484284,570.838307102423,29.9659231186635,231.898055081343
202544,100.302821443405,4.46596017788649,2000.28358936917,7.99148317551835,1213.53150163779,14.2679249870584,685.269060247238,35.9729186347038,278.384544802879
202545,120.398306891079,5.3607070700788,2401.03672056667,9.59256210378728,1456.66030181033,17.1264774666385,822.561453719034,43.180026595689,334.158375373538
202546,144.500332841007,6.43384426153359,2881.69006894126,11.5128563896608,1748.2629439158,20.5549542865428,987.226539257841,51.8240528150062,401.052121993456
202547,173.393444399581,7.7203034436278,3457.88938282635,13.8148735371944,2097.83138627959,24.6649558042275,1184.62433047087,62.1863690115298,481.243243174537
202548,208.00541040216,9.2613933115045,4148.13664202061,16.5725321952541,2516.59040495231,29.5884557364607,1421.09334574457,74.5997131117298,577.306706412182
202549,249.425712601735,11.1056227909683,4974.15877743252,19.8726352570563,3017.72128844299,35.4804312185091,1704.07692641558,89.4548202703142,692.266303834199
202550,298.92047970917,13.3093659732106,5961.20549236979,23.816059708366,3616.54251985759,42.5209871488253,2042.22526616099,107.205778861285,829.636100745669
202551,357.938182295293,15.9371156790221,7138.16283281609,28.5182103606371,4330.57867768352,50.9161662802762,2445.43431857995,128.372072915492,993.436241492652
202552,428.096122653319,19.0608819230083,8537.28376224362,34.1079434502146,5179.39698099046,60.8960274234609,2924.75349590891,153.533736802501,1188.15545287492
202601,511.1310064209,22.7579911263689,10193.2024388602,40.7236285033431,6184.00927141988,72.7076143345373,3492.04797425272,183.313628082017,1418.61385860822
202602,608.786919335425,27.1060983075563,12140.7001981132,48.5042230451093,7365.51668006082,86.599020577714,4159.23335057119,218.337251135872,1689.65206543831
