epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,205.229853025044,8.69171817165627,4780.91572454137,15.016302673647,2896.99727098292,26.5379549667171,1578.75156384232,72.862355810832,611.701540811648
202542,252.478925189179,10.6927702265578,5881.60272864859,18.4734330969633,3563.95888060445,32.6476594313885,1942.21986764763,89.637102062464,752.530615230927
202543,310.600440784457,13.154282651858,7235.56787430278,22.7260808339536,4384.39445361227,40.1632627450868,2389.32555079469,110.271870772507,925.765747059441
202544,382.091524766391,16.1820115353424,8900.98273737354,27.9569560683125,5393.5530732893,49.4076642747358,2939.27800154018,135.653211360215,1138.84978713185
202545,470.018757505716,19.9058300506272,10949.2845970818,34.390435021829,6634.72217971467,60.7773987865054,3615.66720196804,166.869845894045,1400.92288689374
202546,578.144524692315,24.485079519589,13468.1198101413,42.3018047517294,8161.01110817912,74.7589745565253,4447.43568750442,205.257526852466,1723.19909288709
202547,711.078358446751,30.1149788809181,16564.8693655902,52.0283365101539,10037.4874001585,91.948443056012,5470.04275384462,252.452767464619,2119.41742923051
202548,874.455514715397,37.0341876463234,20370.8089203016,63.982351933974,12343.6975780387,113.074490518116,6726.83818176788,310.456241695804,2606.37415969584
202549,1075.14257336494,45.5335132988522,25045.898339639,78.6662664373758,15176.5693686664,139.02502376824,8270.64383682147,381.705778049406,3204.53559277888
202550,1321.46434734159,55.9655211543866,30784.0676417345,96.6891917507395,18653.6147228183,170.876511496569,10165.4991911572,469.156918684641,3938.71439988735
202551,1623.43517274338,68.7543297598017,37818.6049969796,118.783859003125,22916.194675057,209.9238920197,12488.4405459886,576.365033881365,4838.7589911384
202552,1992.95601824779,84.4039587018667,46426.7484750256,145.821040867885,28132.3017141579,257.706061195949,15331.0173159541,707.555301417036,5940.14101341899
202601,2443.89886796173,103.501902317111,56931.6517787559,178.815725705452,34497.7509201812,316.016783841212,18799.9411527924,867.652664845924,7284.20685921167
202602,2991.92904989122,126.711605100026,69698.2453112779,218.914117654028,42233.6719768136,386.881719298101,23015.7191889848,1062.21875512105,8917.64810450968
202603,3653.79763195412,154.742493867765,85116.7522434944,267.341862506631,51576.5207277289,472.466922258447,28107.2107219558,1297.20067132597,10890.3924469874
202604,4445.65384280748,188.278506858883,103563.375647657,325.280570549901,62754.2575337535,574.86062450983,34198.6453392697,1578.33184272126,13250.5737614532
202605,5379.68946894515,227.83598012611,125322.128316736,393.622293078646,75938.9800292253,695.639327112741,41383.8096012611,1909.94069556847,16034.530497083
202606,6458.22627533506,273.513243061904,150447.096741953,472.536909498719,91163.4619391982,835.10325390525,49680.5639216074,2292.8515215713,19249.182832337
202607,7664.49762847897,324.600209629043,178547.695145665,560.797635111324,108191.027698339,991.084337434398,58959.9292630704,2721.11169542846,22844.5566752693
202608,8950.52486019029,379.06492854957,208506.240277628,654.893956252152,126344.416816748,1157.37853030195,68852.824830073,3177.6874438306,26677.6483408738
202609,10225.5639781874,433.064288331383,238208.812680162,748.186296690792,144342.69918546,1322.25186717503,78661.193212291,3630.36210357855,30477.9891859203
